,Adresse,Post nr.,Pris,År,Størrelse (m2),Værelser,Toiletter,Handel
0,Munkerodgyden 11,"Stegsted, 5200 Odense V",3000000.0,2025,274,6,2,Auktion
1,Lodsvej 25B,"Stige, 5270 Odense N",803200.0,2024,141,6,2,Auktion
2,Assensvej 243,"Bellinge, 5250 Odense SV",844500.0,2024,153,5,2,Auktion
3,Blommehaven 2,"Bullerup, 5320 Agedrup",865850.0,2023,139,6,1,Auktion
4,Planteskolevej 17,"Holmstrup, 5250 Odense SV",1170000.0,2023,184,7,2,Auktion
5,Paaskeløkkevej 19,5000 Odense C,1100000.0,2023,77,5,1,Auktion
6,Ejbygade 14,5220 Odense SØ,1472900.0,2023,128,5,2,Auktion
7,Bådvej 41,5240 Odense NØ,1675000.0,2023,131,5,2,Auktion
8,Nr. Lyndelse Vej 35,"Højby, 5260 Odense S",2150000.0,2023,178,6,2,Auktion
9,Faaborgvej 258B,"Dyrup, 5250 Odense SV",2750000.0,2022,127,4,2,Auktion
10,Travbanevej 12,"Sanderum, 5250 Odense SV",2390000.0,2022,131,5,1,Auktion
11,Skærevej 7,"Fangel, 5260 Odense S",367052.0,2022,66,3,1,Auktion
12,Nøglens Kvarter 151,"Holluf Pile, 5220 Odense SØ",1350000.0,2021,149,6,1,Auktion
13,Husemosevej 15,"Spedsbjerg, 5491 Blommenslyst",795000.0,2021,119,4,2,Auktion
14,Rugårdsvej 183,"Tarup, 5210 Odense NV",1223808.0,2021,108,4,1,Auktion
15,Vibækvej 15,"Bellinge, 5250 Odense SV",1507100.0,2021,177,4,1,Auktion
16,Teisensvej 1A,5000 Odense C,998300.0,2021,68,3,1,Auktion
17,Kabbelejen 2,"Fraugde, 5220 Odense SØ",3500000.0,2021,229,6,2,Auktion
18,Riddersporen 11,"Fraugde, 5220 Odense SØ",2800000.0,2021,152,6,2,Auktion
19,Bogensevej 385,"Næsbyhoved-Broby, 5270 Odense N",875000.0,2020,112,4,1,Auktion
20,Munkemaen 188,"Anderup, 5270 Odense N",1822000.0,2020,130,5,1,Auktion
21,Middelfartvej 402,"Lille Ubberud, 5491 Blommenslyst",1100000.0,2020,140,6,1,Auktion
22,Vejrup-Vej 71,"Vejrup, 5491 Blommenslyst",900000.0,2020,91,4,1,Auktion
23,Rødegårdsvej 152,5230 Odense M,1973744.0,2020,144,7,2,Auktion
24,Stærmosevej 13A,"Brændekilde, 5250 Odense SV",828750.0,2025,193,5,2,Familiehandel
25,Langelinie 137,5230 Odense M,8500000.0,2025,210,7,3,Familiehandel
